简历编号,姓名,性别,年龄,电话,邮箱,意向岗位,学历层次,院校类别,专业类别,英语水平,编程语言,编程语言熟练度,前端技术,前端技术熟练度,后端技术,后端技术熟练度,数据库,数据库熟练度,云计算/运维,云计算/运维熟练度,数据与算法,数据与算法熟练度,移动开发,移动开发熟练度,测试工具,测试工具熟练度,小型企业工作经验,中型企业工作经验,大型企业工作经验,小规模项目,中规模项目,大规模项目,筛选结果
16,张健,男,23,18939982455,yongyuan7716@outlook.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,Go","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","熟练,掌握",NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
17,杨东,男,22,18243347228,yangjin0@gmail.com,后端开发工程师,本科,普通高校,非计算机类,英语四级,Java,掌握,NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","熟练,熟练,掌握,了解,精通","MySQL,Redis","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
18,范玉华,女,23,18946312241,yonggong974@hotmail.com,全栈开发工程师,本科,普通高校,非计算机类,无,"Java,JavaScript,Go","熟练,熟练,掌握","HTML/CSS,React/Vue,Webpack,TypeScript,Redux/Vuex","熟练,掌握,了解,掌握,掌握","Spring Boot,Django/Flask,Node.js","掌握,熟练,熟练","MySQL,PostgreSQL,MongoDB","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,12,0,0,不通过
19,廖建华,男,21,18837645208,chaoma1474@qq.com,后端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript,SQL","熟练,了解,了解",NULL,NULL,"Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","熟练,熟练,掌握,熟练",MySQL,精通,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
20,张超,男,21,15309593518,xialin387@yahoo.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","精通,熟练,熟练,熟练,了解",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,熟练,了解","MySQL,PostgreSQL,MongoDB","掌握,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
21,陈鹏,男,23,18961957612,mingao8@126.com,云计算工程师,本科,211高校,计算机类,英语四级,"Python,Java","掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,1,0,0,不通过
22,黄云,女,23,13460480589,xiulanpeng5@outlook.com,测试工程师,本科,普通高校,非计算机类,英语四级,"Java,SQL,Go","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","掌握,熟练,熟练,熟练",NULL,NULL,NULL,15,0,0,通过
23,张秀英,女,22,13270335211,xiafeng@qq.com,数据工程师,专科,普通高校,非计算机类,无,"Python,JavaScript,SQL","掌握,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
24,马鑫,男,33,13205554384,xiulancai@hotmail.com,后端开发工程师,本科,985高校,计算机类,英语六级,"Python,JavaScript,Go","掌握,掌握,熟练",NULL,NULL,"Spring Boot,Django/Flask,Kafka/RabbitMQ","熟练,掌握,熟练",MySQL,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,5年以上,NULL,1,9,2,通过
25,陈辉,男,23,15593305172,juanshi9752@yahoo.com,数据工程师,专科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,熟练,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,熟练,了解",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","了解,精通,了解",NULL,NULL,NULL,NULL,1―3年,1年以下,NULL,1,0,0,通过
26,秦丽华,女,22,13181298266,jingfeng70@qq.com,数据分析师,本科,211高校,非计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","了解,精通,精通,精通,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,掌握,精通",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,通过
27,李春梅,女,38,18051016224,weiguo9982@126.com,云计算工程师,本科,211高校,计算机类,英语六级,Python,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Ansible,Terraform","掌握,掌握,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,1,1,0,通过
28,陈宇,男,22,18990235577,gangyin@hotmail.com,运维工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","了解,精通,掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","熟练,精通,掌握,了解,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,不通过
29,林旭,男,22,15007681040,jingqiao1570@gmail.com,全栈开发工程师,专科,普通高校,非计算机类,无,"Python,JavaScript,SQL,Go","熟练,掌握,熟练,掌握","HTML/CSS,React/Vue,Webpack,Redux/Vuex","掌握,掌握,精通,熟练","Spring Boot,Django/Flask,Kafka/RabbitMQ","熟练,掌握,了解","MySQL,MongoDB,Redis","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,14,0,0,不通过
30,陆杰,男,23,18562557701,yanyuan157@126.com,云计算工程师,本科,普通高校,计算机类,英语四级,"Java,JavaScript,SQL","熟练,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,熟练,熟练,了解,掌握",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,4,0,0,不通过
31,范雷,男,21,17746519098,nading240@163.com,运维工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript","熟练,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
32,朱雷,男,23,17681891371,liqin9490@163.com,测试工程师,本科,211高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JMeter,Postman","掌握,掌握,掌握",1―3年,NULL,NULL,12,0,0,不通过
33,王瑞,男,22,13041027674,gangkang836@hotmail.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript","熟练,熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","精通,掌握,了解,掌握,精通",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
34,李丽丽,女,23,18446542140,taopan650@163.com,数据分析师,本科,985高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","了解,熟练,掌握,精通,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,精通,了解",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","掌握,掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
35,胡超,男,22,17757173203,qiangxiao@hotmail.com,运维工程师,专科,普通高校,计算机类,英语四级,Java,掌握,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","了解,精通,精通,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,5,0,0,通过
36,曹芳,女,22,13592511426,weimao5@outlook.com,移动开发工程师,专科,普通高校,非计算机类,无,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","精通,掌握",NULL,NULL,1―3年,NULL,NULL,3,0,0,通过
37,吕伟,男,21,17622005436,mincheng59@yahoo.com,云计算工程师,专科,普通高校,非计算机类,无,Python,精通,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","掌握,掌握,熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
38,张玲,女,22,13292983168,taohe397@yahoo.com,后端开发工程师,本科,普通高校,计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,了解,熟练,掌握",NULL,NULL,"Spring Boot,Django/Flask","掌握,熟练","MySQL,PostgreSQL","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
39,王斌,男,21,18225701658,mingmao@163.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
40,周坤,男,40,13112412723,yanhuang0468@qq.com,全栈开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","熟练,精通","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,熟练,了解,掌握","Spring Boot,Django/Flask","熟练,熟练","MySQL,PostgreSQL,Redis","熟练,熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5年以上,NULL,NULL,15,2,1,通过
41,刘博,男,23,18985474929,xiulandai517@gmail.com,数据分析师,专科,普通高校,计算机类,无,"Python,JavaScript,SQL,Go","熟练,熟练,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,掌握",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,掌握,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,0,0,0,不通过
42,龚利,男,23,13623478519,jiedai106@hotmail.com,测试工程师,本科,普通高校,计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","掌握,精通,熟练",1―3年,NULL,NULL,15,0,0,通过
43,李红,女,21,15256504481,jingtao3219@yahoo.com,数据分析师,专科,普通高校,非计算机类,英语四级,"Java,SQL","精通,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,掌握",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","精通,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
44,黄欣,女,22,13011939325,leicheng@gmail.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL","了解,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","熟练,掌握,掌握",NULL,NULL,"Pandas/Numpy,Tableau/Power BI/FineBI","熟练,熟练",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,2,0,0,不通过
45,李桂,女,23,18716781126,xiulanren912@gmail.com,云计算工程师,本科,普通高校,非计算机类,英语六级,"Python,Java,JavaScript,SQL,Go","熟练,精通,了解,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Terraform","熟练,熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,0,不通过
46,靳瑞,男,22,18671978897,taogu828@gmail.com,移动开发工程师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL,Go","掌握,熟练,掌握,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),React Native/Flutter","精通,掌握",NULL,NULL,1―3年,NULL,NULL,12,0,0,不通过
47,吴帆,男,35,18637183440,nasu96@yahoo.com,移动开发工程师,本科,普通高校,计算机类,英语四级,"Python,SQL","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Android (Kotlin),iOS (Swift),React Native/Flutter","掌握,熟练,熟练",NULL,NULL,NULL,3―5年,NULL,13,3,0,通过
48,高坤,男,22,17686603242,lifeng@163.com,全栈开发工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,熟练,精通,掌握,熟练","HTML/CSS,React/Vue,TypeScript","熟练,熟练,掌握","Spring Boot,Django/Flask,RESTful API","熟练,熟练,了解","MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,了解,了解",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
49,李荣,女,21,17654090034,nayuan6451@outlook.com,测试工程师,专科,普通高校,计算机类,英语四级,"Python,Java,SQL","精通,掌握,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter,Postman","熟练,精通,精通,精通",NULL,NULL,NULL,0,0,0,通过
50,李红霞,男,23,15300893173,junmeng20@126.com,运维工程师,本科,普通高校,非计算机类,英语四级,"Python,Java,JavaScript","精通,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,"Docker/Kubernetes,Linux,Terraform","熟练,熟练,了解",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,通过
51,杨志强,男,23,18964652809,mingfang4@qq.com,算法工程师,本科,普通高校,计算机类,英语四级,"Python,Java,SQL,Go","熟练,掌握,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TensorFlow/PyTorch,Tableau/Power BI/FineBI","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,0,0,通过
52,葛雪,女,28,13137150416,yangding91@yahoo.com,运维工程师,本科,211高校,计算机类,英语四级,Java,熟练,NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Linux,Ansible,Terraform","了解,掌握,掌握,掌握,了解",NULL,NULL,NULL,NULL,NULL,NULL,5年以上,3―5年,5年以上,1,0,1,不通过
53,田琳,女,22,17781476174,mingjin2@hotmail.com,数据分析师,专科,普通高校,非计算机类,无,"Python,Java,JavaScript,SQL","熟练,熟练,熟练,精通",NULL,NULL,NULL,NULL,"MySQL,MongoDB","掌握,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,了解,掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,12,0,0,不通过
54,乔龙,男,23,18931472760,pingcao@qq.com,全栈开发工程师,本科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,熟练,掌握,掌握,了解","HTML/CSS,React/Vue","掌握,熟练","Spring Boot,Django/Flask,RESTful API","精通,掌握,掌握","MySQL,MongoDB,Redis","熟练,掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,3,0,0,不通过
55,马凤兰,女,23,15041722329,xiahe167@163.com,数据工程师,本科,普通高校,非计算机类,英语四级,"Python,JavaScript,SQL,Go","掌握,了解,熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB,Redis","精通,掌握,熟练",NULL,NULL,"TensorFlow/PyTorch,Hadoop/Spark","掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,不通过
56,蒋强,男,35,13213760375,taofeng82@gmail.com,算法工程师,本科,普通高校,计算机类,英语四级,Python,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TensorFlow/PyTorch,精通,NULL,NULL,NULL,NULL,NULL,NULL,3―5年,9,2,2,通过
57,龚鹏,男,22,18997563410,weizhang5628@outlook.com,测试工程师,本科,211高校,非计算机类,英语四级,"Python,Go","熟练,掌握",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Selenium,JUnit,JMeter","熟练,掌握,掌握",NULL,NULL,NULL,0,0,0,不通过
58,蔡瑞,男,22,18198864976,guiyingmao762@qq.com,后端开发工程师,专科,普通高校,计算机类,英语四级,"Java,SQL","熟练,精通",NULL,NULL,"Spring Boot,Django/Flask,Node.js,Kafka/RabbitMQ","掌握,熟练,精通,掌握",MySQL,熟练,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,4,0,0,通过
59,张岩,男,22,18177251996,nacai365@outlook.com,数据工程师,本科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL","掌握,掌握,掌握,熟练",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,Hadoop/Spark,掌握,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
60,刘华,男,23,18615265461,weishi@qq.com,数据分析师,本科,普通高校,非计算机类,英语六级,"Java,SQL","熟练,掌握",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","精通,熟练,熟练,了解",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Tableau/Power BI/FineBI","精通,掌握,掌握",NULL,NULL,NULL,NULL,1―3年,NULL,NULL,6,0,0,通过
61,李勇,男,23,18002891416,weiliao@yahoo.com,数据工程师,本科,普通高校,计算机类,英语四级,"Java,SQL","熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","熟练,掌握,精通,熟练",NULL,NULL,"Pandas/Numpy,Hadoop/Spark","熟练,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,0,通过
62,金亮,男,23,15537504793,leiwei@qq.com,前端开发工程师,本科,普通高校,计算机类,英语六级,"Java,JavaScript,SQL,Go","掌握,熟练,掌握,掌握","HTML/CSS,React/Vue,Webpack,Redux/Vuex","熟练,掌握,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,4,0,0,不通过
63,吕坤,男,23,15611076095,leizhao31@126.com,数据分析师,本科,普通高校,计算机类,英语四级,"Python,SQL","熟练,熟练",NULL,NULL,NULL,NULL,"MySQL,PostgreSQL,MongoDB,Redis","精通,熟练,精通,了解",NULL,NULL,"Pandas/Numpy,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,精通",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,通过
64,陈平,男,22,15796854982,gangmeng7@163.com,后端开发工程师,专科,普通高校,计算机类,英语四级,Java,熟练,NULL,NULL,"Spring Boot,Django/Flask,RESTful API,Node.js,Kafka/RabbitMQ","掌握,熟练,熟练,掌握,掌握","MySQL,PostgreSQL,MongoDB,Redis","熟练,熟练,精通,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,4,0,0,通过
65,林兰英,女,39,15547355289,junfu112@qq.com,数据分析师,专科,普通高校,计算机类,英语四级,"Python,Java,JavaScript,SQL,Go","熟练,掌握,了解,掌握,掌握",NULL,NULL,NULL,NULL,"MySQL,MongoDB","熟练,熟练",NULL,NULL,"Pandas/Numpy,TensorFlow/PyTorch,Hadoop/Spark,Tableau/Power BI/FineBI","熟练,熟练,了解,掌握",NULL,NULL,NULL,NULL,5年以上,NULL,3―5年,15,3,1,不通过
66,杨岩,男,22,13151488814,xiuyingfang1@gmail.com,云计算工程师,专科,普通高校,计算机类,无,"Python,Java,JavaScript,SQL,Go","熟练,了解,熟练,精通,精通",NULL,NULL,NULL,NULL,NULL,NULL,"AWS/Azure,Docker/Kubernetes,Terraform","掌握,掌握,精通",NULL,NULL,NULL,NULL,NULL,NULL,1―3年,NULL,NULL,7,0,0,不通过
67,马宇,男,21,18755366684,xiuyingyang90@outlook.com,后端开发工程师,专科,普通高校,计算机类,无,"Java,JavaScript","精通,熟练",NULL,NULL,"Spring Boot,Django/Flask","熟练,熟练","MySQL,MongoDB","掌握,熟练",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,不通过
